2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.400496918Z,0
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.402074959Z,1
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.403589497Z,2
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.408419864Z,3
2021-10-07T08:16:26.394925807Z,2021-10-07T08:16:26.410372525Z,4
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.412432159Z,5
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.414306491Z,6
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.416036403Z,7
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.418889733Z,8
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.421878903Z,9
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.426213658Z,10
2021-10-07T08:16:26.411071269Z,2021-10-07T08:16:26.427567619Z,11
2021-10-07T08:16:26.411071269Z,2021-10-07T08:16:26.429793628Z,12
2021-10-07T08:16:26.413073911Z,2021-10-07T08:16:26.431869216Z,13
2021-10-07T08:16:26.409001477Z,2021-10-07T08:16:26.434849214Z,14
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.438406411Z,15
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.440422844Z,16
2021-10-07T08:16:26.417916392Z,2021-10-07T08:16:26.442487984Z,17
2021-10-07T08:16:26.406931891Z,2021-10-07T08:16:26.444494017Z,18
2021-10-07T08:16:26.419789504Z,2021-10-07T08:16:26.446570061Z,19
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.448634199Z,20
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.450370153Z,21
2021-10-07T08:16:26.422819761Z,2021-10-07T08:16:26.452582792Z,22
2021-10-07T08:16:26.405685234Z,2021-10-07T08:16:26.454428374Z,23
2021-10-07T08:16:26.399324671Z,2021-10-07T08:16:26.459938956Z,24
2021-10-07T08:16:26.394925807Z,2021-10-07T08:16:26.464457949Z,25
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.466079310Z,26
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.467295500Z,27
2021-10-07T08:16:26.422819761Z,2021-10-07T08:16:26.471003479Z,28
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.472741863Z,29
2021-10-07T08:16:26.413073911Z,2021-10-07T08:16:26.475971136Z,30
2021-10-07T08:16:26.406931891Z,2021-10-07T08:16:26.479592352Z,31
2021-10-07T08:16:26.399324671Z,2021-10-07T08:16:26.480660048Z,32
2021-10-07T08:16:26.433800243Z,2021-10-07T08:16:26.482836746Z,33
2021-10-07T08:16:26.405685234Z,2021-10-07T08:16:26.487950693Z,34
2021-10-07T08:16:26.435797345Z,2021-10-07T08:16:26.488996929Z,35
2021-10-07T08:16:26.436978284Z,2021-10-07T08:16:26.490815217Z,36
2021-10-07T08:16:26.429047377Z,2021-10-07T08:16:26.493873368Z,37
2021-10-07T08:16:26.433800243Z,2021-10-07T08:16:26.496619148Z,38
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.500811533Z,39
2021-10-07T08:16:26.397474440Z,2021-10-07T08:16:26.503845987Z,40
2021-10-07T08:16:26.411071269Z,2021-10-07T08:16:26.508004837Z,41
2021-10-07T08:16:26.422819761Z,2021-10-07T08:16:26.509964433Z,42
2021-10-07T08:16:26.431403771Z,2021-10-07T08:16:26.513926560Z,43
2021-10-07T08:16:26.397474440Z,2021-10-07T08:16:26.516092756Z,44
2021-10-07T08:16:26.435797345Z,2021-10-07T08:16:26.519286021Z,45
2021-10-07T08:16:26.399324671Z,2021-10-07T08:16:26.521501185Z,46
2021-10-07T08:16:26.397474440Z,2021-10-07T08:16:26.523584070Z,47
2021-10-07T08:16:26.481673579Z,2021-10-07T08:16:26.525873166Z,48
2021-10-07T08:16:26.394925807Z,2021-10-07T08:16:26.527345270Z,49
2021-10-07T08:16:26.415012783Z,2021-10-07T08:16:26.529201050Z,50
2021-10-07T08:16:26.451350135Z,2021-10-07T08:16:26.531261387Z,51
2021-10-07T08:16:26.392915271Z,2021-10-07T08:16:26.533461258Z,52
2021-10-07T08:16:26.453606380Z,2021-10-07T08:16:26.535529471Z,53
2021-10-07T08:16:26.471954920Z,2021-10-07T08:16:26.537535888Z,54
